ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value
INE752G01015,MSP STEEL,MSPL,2018-10-31,25.6,26,26
INE331L01026,MSR INDIA,,2018-10-31,39.55,,39.55
INE472M01018,MT EDUCARE,MTEDUCARE,2018-10-31,56.9,57,57
INE022B01014,MUKAND ENGG.,MUKANDENGG,2018-10-31,51.55,51.65,51.65
INE304A01026,MUKAND LTD.,MUKANDLTD,2018-10-31,90,86.9,90
INE596B01017,MUKESH BABU,,2018-10-31,92.85,,92.85
INE160O01031,MUKTA,,2018-10-31,40.1,,40.1
INE374B01019,MUKTA ARTS,MUKTAARTS,2018-10-31,89.25,89.3,89.3
INE150D01019,MUL,,2018-10-31,170.9,,170.9
INE003F01015,MULLER & PHI,,2018-10-31,77,,77
INE678F01014,MULTIBASE I,,2018-10-31,668.95,,668.95
INE672B01032,MUNAUTO,MUNJALAU,2018-10-31,86,86,86
INE577A01027,MUNJAL SHOWA,MUNJALSHOW,2018-10-31,278.5,277.6,278.5
INE692B01014,MURD.CERAM,MURUDCERA,2018-10-31,48,48.1,48.1
INE296G01013,MUTHOOT CAP,MUTHOOTCAP,2018-10-31,759,759.9,759.9
INE414G01012,MUTHOOT FIN,MUTHOOTFIN,2018-10-31,422.55,422,422.55
INE744I01034,MVL LIMITED,MVL,2018-10-31,0.5,0.55,0.55
INE741A01011,MYS PETRO,,2018-10-31,145,,145
INE732C01016,N C L IND.,NCLIND,2018-10-31,276.4,276.75,276.75
INE542C01019,N K INDUST.,NKIND,2018-10-31,52.2,49.85,52.2
INE825C01018,N.G.IND.LTD.,,2018-10-31,83.55,,83.55
INE740D01017,N.R.AGARWAL,NRAIL,2018-10-31,499.9,502.95,502.95
INF247L01031,N100,N100,2018-10-31,524,514.99,524
INE295D01020,NACLIND,NACLIND,2018-10-31,55.75,55.95,55.95
INE793H01017,NAGAR.AGRITE,,2018-10-31,8.8,,8.8
INE454M01024,NAGARFERT,NAGAFERT,2018-10-31,23.15,23.4,23.4
INE099E01016,NAGPUR POWER,,2018-10-31,46.35,,46.35
INE123B01028,NAGREEKA EXP,NAGREEKEXP,2018-10-31,38,39.7,39.7
INE245I01016,NAGREKA CAP,NAGREEKCAP,2018-10-31,43.5,41.8,43.5
INE049I01012,NAHAR CAP,NAHARCAP,2018-10-31,176.95,176.9,176.95
INE289A01011,NAHAR INDUST,NAHARINDUS,2018-10-31,103.85,104.65,104.65
INE308A01027,NAHAR POLY,NAHARPOLY,2018-10-31,77.4,77.95,77.95
INE290A01027,NAHAR SPG.,NAHARSPING,2018-10-31,119.6,119.95,119.95
INE559B01023,NAKODA,NAKODA,2018-10-31,0.48,0.5,0.5
INE606C01012,NALIN LEASE,,2018-10-31,25.4,,25.4
INE023A01030,NALWA SONS,NSIL,2018-10-31,1329,1348,1348
INE792G01011,NAM SEC,,2018-10-31,30.2,,30.2
INE696V01013,,NANDANI,2018-10-31,,103.2,103.2
