ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE289D01015,JAY USHIN,,10/31/2018,805,,805,Stock
INE785A01026,JAYANT AGRO,JAYAGROGN,10/31/2018,398.45,402.6,402.6,Stock
INE571B01028,JAYBH.MARUTI,JAYBARMARU,10/31/2018,522.05,524,524,Stock
INE903A01025,JAYKAY,,10/31/2018,9.4,,9.4,Stock
INE364A01020,JAYSHRE TEA,JAYSREETEA,10/31/2018,103,103.5,103.5,Stock
INE693E01016,JAYSHRI CHEM,,10/31/2018,18.6,,18.6,Stock
INE703C01025,JAYSN DYEST,,10/31/2018,81,,81,Stock
INE187A01017,JBF IND.LTD,JBFIND,10/31/2018,192.25,192.6,192.6,Stock
INE927D01028,JBM AUTO,JBMA,10/31/2018,503.5,503.9,503.9,Stock
INE782A01015,JCHAC,JCHAC,10/31/2018,2529.95,2547.45,2547.45,Stock
INE945A01026,JCT LTD,,10/31/2018,3.75,,3.75,Stock
INE263B01022,JD ORGOCHEM,,10/31/2018,4.18,,4.18,Stock
INE801W01017,JDML,,10/31/2018,42.3,,42.3,Stock
INE354A01013,JENBURKT PH.,,10/31/2018,580,,580,Stock
INE819B01021,JENSON &NICH,JENSONICOL,10/31/2018,5.98,6,6,Stock
INE802G01018,JETAIRWAYS,JETAIRWAYS,10/31/2018,774.5,774.95,774.95,Stock
INE982V01017,,JETFREIGHT,10/31/2018,,113.5,113.5,Stock
INE919C01019,JETINFOTRAN,,10/31/2018,69.7,,69.7,Stock
INE564T01017,,JETKNIT,10/31/2018,,110.05,110.05,Stock
INE841Y01019,JFL,,10/31/2018,63.5,,63.5,Stock
INE865D01012,JHAVERI CRED,,10/31/2018,6.01,,6.01,Stock
INE544H01014,JHS SVEN,JHS,10/31/2018,72.1,72.65,72.65,Stock
INE943X01015,JIGAR,,10/31/2018,47,,47,Stock
INE147P01019,JIN POLY INV,JPOLYINVST,10/31/2018,78,75.2,78,Stock
INE356F01017,JINDAL CAP.,,10/31/2018,8.4,,8.4,Stock
INE742C01031,JINDAL DRILL,JINDRILL,10/31/2018,194.95,194.95,194.95,Stock
INE726D01016,JINDAL HOTL,,10/31/2018,77.1,,77.1,Stock
INE197D01010,JINDAL POLYF,JINDALPOLY,10/31/2018,355.25,354.5,355.25,Stock
INE324A01024,JINDAL SAW,JINDALSAW,10/31/2018,157.15,156,157.15,Stock
INE749A01030,JINDAL STE,JINDALSTEL,10/31/2018,274,274,274,Stock
INE247D01021,JINDAL WORLD,JINDWORLD,10/31/2018,671.9,673.4,673.4,Stock
INE904J01016,JINDALCOTEX,JINDCOT,10/31/2018,9.32,9.45,9.45,Stock
INE796G01012,JINDALPH,JINDALPHOT,10/31/2018,74.8,72.95,74.8,Stock
IN9175A01010,JISLBNDVR,JISLDVREQS,10/31/2018,86.25,86.35,86.35,Stock
INE863T01013,JITFINFRA,JITFINFRA,10/31/2018,46.5,46.25,46.5,Stock
INE023S01016,JIYAECO,,10/31/2018,96.5,,96.5,Stock
INE584C01011,JJ FINANCE,,10/31/2018,53,,53,Stock
INE823G01014,JK CEMENT,JKCEMENT,10/31/2018,1121.05,1126.15,1126.15,Stock
INE786A01032,JK LAKSHMI,JKLAKSHMI,10/31/2018,418.1,420,420,Stock
INE789E01012,JK PAPER,JKPAPER,10/31/2018,149.95,149.85,149.95,Stock
INE573A01042,JK TYRE IND,JKTYRE,10/31/2018,179.5,179.5,179.5,Stock
INE690O01011,JKAGRI GEN,,10/31/2018,1460,,1460,Stock
INE430D01015,JL MORISON,,10/31/2018,1487,,1487,Stock
INE780C01023,JM FINANCIAL,JMFINANCIL,10/31/2018,168,167.85,168,Stock
INE412C01015,,JMA,10/31/2018,,239.95,239.95,Stock
INE890A01024,JMC PROJECTS,JMCPROJECT,10/31/2018,569.5,569.95,569.95,Stock
INE047E01031,JMDVL,,10/31/2018,22.8,,22.8,Stock
INE988E01036,JMT AUTO LTD,JMTAUTOLTD,10/31/2018,5.25,5.3,5.3,Stock
INE839G01010,,JOCIL,10/31/2018,,191.8,191.8,Stock
INE024B01010,JOINDRE CAPI,,10/31/2018,38.8,,38.8,Stock
INE574G01013,JOONKTOLLEE,,10/31/2018,173.75,,173.75,Stock
INE636D01017,JOSTS ENG.,,10/31/2018,1299,,1299,Stock
INE099J01015,JPINFRATEC,JPINFRATEC,10/31/2018,15.2,15.2,15.2,Stock
INE351F01018,JPPOWER,JPPOWER,10/31/2018,7.12,7.15,7.15,Stock
INE630C01012,JPT SECUR.,,10/31/2018,20,,20,Stock
INE022M01029,JRIIIL,,10/31/2018,1.34,,1.34,Stock
INE220G01021,JSL,JSL,10/31/2018,114.65,114.8,114.8,Stock
INE455T01018,JSLHISAR,JSLHISAR,10/31/2018,207,203.95,207,Stock
INE237B01018,JSTL,,10/31/2018,51.3,,51.3,Stock
INE121E01018,JSW ENERGY,JSWENERGY,10/31/2018,88.7,88.75,88.75,Stock
INE824G01012,JSWHL,JSWHL,10/31/2018,1729,1713.9,1729,Stock
INE019A01038,JSWSL,JSWSTEEL,10/31/2018,294,294,294,Stock
INE391J01016,JTL INFRA,,10/31/2018,203.9,,203.9,Stock
INE700A01033,JUBILANT,JUBILANT,10/31/2018,962,962.8,962.8,Stock
INE645L01011,JUBILNT IND,JUBLINDS,10/31/2018,225,224.9,225,Stock
INE797F01012,JUBL FOOD,JUBLFOOD,10/31/2018,2148.85,2148.4,2148.85,Stock
INE699D01015,JUMBO BAG,,10/31/2018,17.8,,17.8,Stock
INE653S01010,JUNCTION,,10/31/2018,37.15,,37.15,Stock
INF732E01045,JUNIOR BEES,JUNIORBEES,10/31/2018,312.89,312.91,312.91,Stock
INE524N01014,JUPITER INFO,,10/31/2018,88.7,,88.7,Stock
INE599M01018,JUSTDIAL,JUSTDIAL,10/31/2018,528.6,528.9,528.9,Stock
INE430G01026,JVL AGRO,JVLAGRO,10/31/2018,35.45,35.5,35.5,Stock
INE668F01031,JYOTHY LAB,JYOTHYLAB,10/31/2018,368,366.95,368,Stock
INE511D01012,JYOTI LTD.,,10/31/2018,56,,56,Stock
INE432D01011,JYOTI OVER.,,10/31/2018,0.55,,0.55,Stock
INE577D01013,JYOTI RESINS,,10/31/2018,73,,73,Stock
INE197A01024,JYOTI STRUCT,JYOTISTRUC,10/31/2018,11.02,11,11.02,Stock
INE930H01023,K.P.R. MILL,KPRMILL,10/31/2018,760.75,765.95,765.95,Stock
INE282Y01016,KAARYAFSL,,10/31/2018,41,,41,Stock
INE323K01017,KABRA DRUGS,,10/31/2018,2.4,,2.4,Stock
INE900B01029,KABRA EXTR,KABRAEXTRU,10/31/2018,128.45,128.75,128.75,Stock
INE645C01010,KABSONS INDU,,10/31/2018,9.57,,9.57,Stock
INE229G01022,KACL,,10/31/2018,2.05,,2.05,Stock
INE375D01012,KAIRA CAN CO,,10/31/2018,1545.8,,1545.8,Stock
INE217B01036,KAJARIA CER.,KAJARIACER,10/31/2018,676.5,677,677,Stock
INE437B01014,KAKATIYA CEM,KAKATCEM,10/31/2018,373.65,373.05,373.65,Stock
INE092E01011,KAKATIYA TEX,,10/31/2018,2.63,,2.63,Stock
INE629F01025,KALLAM SPG.,,10/31/2018,22.8,,22.8,Stock
INE220B01022,KALPA.POWER,KALPATPOWR,10/31/2018,465.4,466,466,Stock
INE059Q01014,KALPACOMME,,10/31/2018,15.55,,15.55,Stock
INE314G01014,KALYANI FORG,KALYANIFRG,10/31/2018,355,357.95,357.95,Stock
INE029L01018,KALYANI INV,KICL,10/31/2018,2430,2442.6,2442.6,Stock
INE907A01026,KALYANI STEL,KSL,10/31/2018,350.1,349.35,350.1,Stock
INE991E01022,KALYANPUR CE,,10/31/2018,9.88,,9.88,Stock
INE535C01013,KAMADGIRI,,10/31/2018,146,,146,Stock
INE411F01010,KAMAHOLDING,,10/31/2018,3863.95,,3863.95,Stock
INE344D01018,KAMAN HSG,,10/31/2018,20.5,,20.5,Stock
INE967C01018,KAMAT HOTELS,KAMATHOTEL,10/31/2018,141.65,141.7,141.7,Stock
INE390H01012,KAMDHENU,KAMDHENU,10/31/2018,248.6,247.95,248.6,Stock
INE879E01037,KANANI IND,KANANIIND,10/31/2018,9.59,9.8,9.8,Stock
INE081G01019,KANCHI,,10/31/2018,259,,259,Stock
INE398L01017,KANCO TEA,,10/31/2018,107,,107,Stock
INE292D01019,KANDAGIRI SP,,10/31/2018,39.75,,39.75,Stock
INE791E01018,KANISHK ST.,,10/31/2018,13.5,,13.5,Stock
INE138C01024,KANORIA CHEM,KANORICHEM,10/31/2018,92,91.85,92,Stock
INE694E01014,KANPUR PLAST,,10/31/2018,149.75,,149.75,Stock
INE531A01024,KANSAI NERO,KANSAINER,10/31/2018,517,518.9,518.9,Stock
INE017I01019,KAPASHI COMM,,10/31/2018,81.3,,81.3,Stock
INE332Q01015,KAPILRAJ,,10/31/2018,42.3,,42.3,Stock
INE327D01013,KARAN WOO-SN,,10/31/2018,1.81,,1.81,Stock
INE725L01011,KARMA ENERG,KARMAENG,10/31/2018,43.4,41.85,43.4,Stock
INE614B01018,KARNATAKA BK,KTKBANK,10/31/2018,149.6,149.65,149.65,Stock
INE554R01012,KARNAVATI,,10/31/2018,28.5,,28.5,Stock
INE036D01028,KARUR VY(PS,KARURVYSYA,10/31/2018,111.8,111.8,111.8,Stock
INE299C01024,KARUTURI GLO,KGL,10/31/2018,2.7,2.75,2.75,Stock
INE498G01015,KATARE SPG.,,10/31/2018,13.7,,13.7,Stock
INE234I01010,KAUSHAL INFR,KAUSHALYA,10/31/2018,3.79,3.5,3.79,Stock
INE455I01029,KAVERI SEED,KSCL,10/31/2018,519.8,518.65,519.8,Stock
INE641C01019,KAVERI TELE,KAVVERITEL,10/31/2018,,12.5,12.5,Stock
INE149O01018,KAVITA FAB,,10/31/2018,7.34,,7.34,Stock
INE313M01014,KAVITIND,,10/31/2018,17.9,,17.9,Stock
INE961B01013,KAY POW PAP,,10/31/2018,5.8,,5.8,Stock
INE587G01015,KAYA,KAYA,10/31/2018,1047,1040,1047,Stock
INE813G01015,KAYCEE IND,,10/31/2018,7328,,7328,Stock
INE883D01015,KBS INDIA,,10/31/2018,4.56,,4.56,Stock
INE100L01025,KCCLPLASTC,,10/31/2018,2.27,,2.27,Stock
INE469F01026,KCLINFRA,,10/31/2018,1.9,,1.9,Stock
INE805C01028,KCP LTD,KCP,10/31/2018,146.6,147.7,147.7,Stock
INE790B01024,KCP SUGAR IN,KCPSUGIND,10/31/2018,29.2,29.1,29.2,Stock
INE291D01011,KDDL LTD,KDDL,10/31/2018,336,347,347,Stock
INE089E01025,KDJHRL,,10/31/2018,6.43,,6.43,Stock
INE389H01022,KEC INTERN,KEC,10/31/2018,357,357.9,357.9,Stock
INE145L01012,KEERTHI,,10/31/2018,163,,163,Stock
INE586X01012,,KEERTI,10/31/2018,,55.9,55.9,Stock
INE878B01027,KEI INDUST.,KEI,10/31/2018,390,390,390,Stock
INE079C01012,KEL,,10/31/2018,16.7,,16.7,Stock
INE164B01022,KELLTONTEC,KELLTONTEC,10/31/2018,119,117.9,119,Stock
INE881E01017,KELTECH EN.,,10/31/2018,1575.8,,1575.8,Stock
INE060E01018,KEMP & CO.,,10/31/2018,607.7,,607.7,Stock
INE717A01029,KENNAMETAL,,10/31/2018,844,,844,Stock
INE817B01025,KERALA AYUR,,10/31/2018,100,,100,Stock
INE202H01019,KERNEX MICRO,KERNEX,10/31/2018,56,55.9,56,Stock
INE133B01019,KESAR ENT.,KESARENT,10/31/2018,63.8,64.8,64.8,Stock
INE133C01033,KESAR PETRO,,10/31/2018,48,,48,Stock
INE096L01025,KESAR TERMI,KTIL,10/31/2018,183.75,183.9,183.9,Stock
INE087A01019,KESORAM IND,KESORAMIND,10/31/2018,140.25,140.4,140.4,Stock
INE401H01017,KEWAL KIRAN,KKCL,10/31/2018,1735,1750,1750,Stock
INE130F01016,KEY CORP.LTD,,10/31/2018,32,,32,Stock
INE681C01015,KEYNOTE CORP,KEYCORPSER,10/31/2018,60,64.85,64.85,Stock
INE104A01012,KG DENIM,,10/31/2018,64.8,,64.8,Stock
INE902G01016,KG PETROCHEM,,10/31/2018,117,,117,Stock
INE755B01019,KGN ENT,,10/31/2018,5.66,,5.66,Stock
INE196C01022,KGN IND LTD,,10/31/2018,1.98,,1.98,Stock
INE834I01025,KHADIM,KHADIM,10/31/2018,699.95,700,700,Stock
INE745B01028,KHAITAN CHEM,,10/31/2018,18.75,,18.75,Stock
INE731C01018,KHAITAN INDI,KHAITANLTD,10/31/2018,51.85,49.75,51.85,Stock
INE060B01014,KHANDWALA SE,KHANDSE,10/31/2018,26,26.05,26.05,Stock
INE964G01016,KHATOR FIBRE,,10/31/2018,20.2,,20.2,Stock
INE687B01014,KHOD.INDIA,,10/31/2018,72.95,,72.95,Stock
INE731G01027,KHOOBSURAT,,10/31/2018,0.5,,0.5,Stock
INE434C01019,KIC METALIKS,,10/31/2018,222.3,,222.3,Stock
INE902D01013,KIFS FSL,,10/31/2018,119.95,,119.95,Stock
INE655C01027,KILBURN CHEM,,10/31/2018,129,,129,Stock
INE338F01015,KILBURN ENGG,,10/31/2018,93,,93,Stock
INE729D01010,KILITCH DRUG,KILITCH,10/31/2018,87,87.05,87.05,Stock
INE994E01018,KILPEST (I),,10/31/2018,141,,141,Stock
INE266B01017,KINETIC ENG.,,10/31/2018,89.95,,89.95,Stock
INE674M01019,KINETIC TRUS,,10/31/2018,8.95,,8.95,Stock
INE473D01015,KINGFA,KINGFA,10/31/2018,1028.9,1029.9,1029.9,Stock
INE050N01010,KINGSINFRA,,10/31/2018,19.45,,19.45,Stock
INE880L01014,KIOCL,KIOCL,10/31/2018,358.4,349.95,358.4,Stock
INE516D01011,KIRAN PRINT,,10/31/2018,3.85,,3.85,Stock
INE293D01017,KIRAN SYNTEX,,10/31/2018,2.62,,2.62,Stock
INE555P01013,KIRAN VYPAR,,10/31/2018,192,,192,Stock
INE415I01015,KIRI DYES,KIRIINDUS,10/31/2018,585.7,587.15,587.15,Stock
INE250A01039,KIRL INDUS,KIRLOSIND,10/31/2018,1448.55,1419.95,1448.55,Stock
INE732A01036,KIRL.BROS.,KIRLOSBROS,10/31/2018,361.5,362,362,Stock
INE884B01025,KIRL.FERROUS,,10/31/2018,101.45,,101.45,Stock
INE146L01010,KIRLOIL ENG,KIRLOSENG,10/31/2018,394.85,397.7,397.7,Stock
INE811A01012,KIRLOSAR PN,,10/31/2018,944.8,,944.8,Stock
INE134B01017,KIRLOSKAR EL,KECL,10/31/2018,43.95,43.95,43.95,Stock
INE017C01012,KISAN MOULD.,,10/31/2018,204,,204,Stock
INE602G01020,KITEX GARMEN,KITEX,10/31/2018,293.7,294.7,294.7,Stock
INE533C01018,KJMC FIN.,,10/31/2018,34.9,,34.9,Stock
INE602C01011,KJMCCORP,,10/31/2018,27.45,,27.45,Stock
INE301C01028,KKALPANAIND,,10/31/2018,41.45,,41.45,Stock
INE509J01013,KKFIN,,10/31/2018,7.14,,7.14,Stock
INE465K01016,KKPLASTICK,,10/31/2018,5.12,,5.12,Stock
INE239T01016,,KKVAPOW,10/31/2018,,580,580,Stock
INE929C01018,KLG CAPITAL,,10/31/2018,17.31,,17.31,Stock
INE218A01028,KLIFESTYLE,,10/31/2018,0.19,,0.19,Stock
INE125G01014,KLKELEC,,10/31/2018,11.5,,11.5,Stock
INE014E01015,KLRF LTD,,10/31/2018,80,,80,Stock
INE157H01023,KM SUGARMILL,KMSUGAR,10/31/2018,18.3,18.5,18.5,Stock
INE879K01018,KMC SHIL,,10/31/2018,21.95,,21.95,Stock
INE580H01026,KMF BUILDERS,,10/31/2018,3.45,,3.45,Stock
INE457Y01014,KMSL,,10/31/2018,31,,31,Stock
INE870V01014,KMSMEDI,,10/31/2018,32.05,,32.05,Stock
INE634I01029,KNR CONST,KNRCON,10/31/2018,315.75,316.05,316.05,Stock
INE080B01012,KOHINORFOODS,KOHINOOR,10/31/2018,76.5,76.75,76.75,Stock
INE760A01029,KOKUYOCMLN,KOKUYOCMLN,10/31/2018,140.85,140.8,140.85,Stock
INE094I01018,KOLTEPATIL,KOLTEPATIL,10/31/2018,370,369.85,370,Stock
INE517D01019,KONARK SYN.,,10/31/2018,20.1,,20.1,Stock
INE082A01010,KOPRAN LTD.,KOPRAN,10/31/2018,76.5,76.6,76.6,Stock
INE237A01028,KOTAK MAH.BK,KOTAKBANK,10/31/2018,1113,1113.2,1113.2,Stock
INF373I01023,KOTAK PSU BK,KOTAKPSUBK,10/31/2018,380,379,380,Stock
INF373I01031,KOTAK SENSEX,,10/31/2018,365.6,,365.6,Stock
INF174K01F59,,KOTAKBKETF,10/31/2018,,280.81,280.81,Stock
INF373I01049,KOTAKGOLDETF,KOTAKGOLD,10/31/2018,266,266.2,266.2,Stock
INF174K014P6,KOTAKNIFTY,KOTAKNIFTY,10/31/2018,112,111.8,112,Stock
INF174K01Z71,,KOTAKNV20,10/31/2018,,52.1,52.1,Stock
INE419A01022,,KOTARISUG,10/31/2018,,17.3,17.3,Stock
INE991B01010,KOTHARI FERM,,10/31/2018,53.2,,53.2,Stock
INE823A01017,KOTHARI PROD,KOTHARIPRO,10/31/2018,206.45,207,207,Stock
INE988F01017,KOTHARIFIN,,10/31/2018,55,,55,Stock
INE720A01015,,KOTHARIPET,10/31/2018,,29,29,Stock
INE177F01017,KOVAI MEDI.,,10/31/2018,1298.75,,1298.75,Stock
INE127T01013,KPEL,,10/31/2018,255.05,,255.05,Stock
INE836A01035,KPIT,KPIT,10/31/2018,220.2,220.65,220.65,Stock
INE552U01010,KPL,,10/31/2018,61.5,,61.5,Stock
INE001B01026,KRBL LTD.,KRBL,10/31/2018,624.3,625,625,Stock
INE268B01013,KREBS BIOCHM,KREBSBIO,10/31/2018,145.9,147.2,147.2,Stock
INE128R01015,KRETTOSYS,,10/31/2018,32.15,,32.15,Stock
INE524L01026,KRIINFRA,KRIDHANINF,10/31/2018,121,121,121,Stock
INE506W01012,,KRISHANA,10/31/2018,,31,31,Stock
INE537L01010,KRISHNA VEN,,10/31/2018,89.75,,89.75,Stock
INE897B01019,KRISHNACAP,,10/31/2018,5.77,,5.77,Stock
INE479D01038,KRITI INDUS.,,10/31/2018,40.8,,40.8,Stock
INE798K01010,KRITI NUTRI,,10/31/2018,31,,31,Stock
INE951B01014,KRYPTON IND,,10/31/2018,13,,13,Stock
INE999A01015,KSB PUMPS,KSBPUMPS,10/31/2018,900,900,900,Stock
INE953E01014,KSE LIMITED,,10/31/2018,2440,,2440,Stock
INE216D01026,KSERASERA,KSERASERA,10/31/2018,0.29,0.3,0.3,Stock
INE143H01015,KSK ENERGY,KSK,10/31/2018,16.36,16.4,16.4,Stock
INE219A01026,KSL & IND.,,10/31/2018,11.13,,11.13,Stock
INE529I01013,KUANTUM,,10/31/2018,834.95,,834.95,Stock
INE594R01018,KUBERJI,,10/31/2018,6,,6,Stock
INE731D01024,KULK-POWER,,10/31/2018,51.9,,51.9,Stock
INE840A01011,KUMAR WIRE,,10/31/2018,35.45,,35.45,Stock
INE638D01021,KUNSTSTOFFE,,10/31/2018,30.2,,30.2,Stock
INE647N01021,KUSHAL,,10/31/2018,156.25,,156.25,Stock
INE430F01010,KUWER INDS.,,10/31/2018,7.26,,7.26,Stock
INE775B01025,KWALITYLTD,KWALITY,10/31/2018,100.2,100.95,100.95,Stock
INE006C01015,KZ LEAS FIN.,,10/31/2018,11.53,,11.53,Stock
INE337A01034,L.G.BALKRISH,LGBBROSLTD,10/31/2018,1031,1033,1033,Stock
INE058I01013,LACTOSE(I),,10/31/2018,145.8,,145.8,Stock
INE519D01015,LADDERUP FIN,,10/31/2018,37.95,,37.95,Stock
INE919B01011,LAFFANS PETR,,10/31/2018,25,,25,Stock
INE213U01019,LAHL,,10/31/2018,8.58,,8.58,Stock
INE515C01023,LAHOTI OVER.,,10/31/2018,24.85,,24.85,Stock
INE191O01010,LAKHOTIA POL,,10/31/2018,8.76,,8.76,Stock
INE284C01018,LAKSHMI ELEC,,10/31/2018,781,,781,Stock
INE269B01029,LAKSHMI MACH,LAXMIMACH,10/31/2018,6167.2,6196.95,6196.95,Stock
INE938C01019,LAKSHMI MILL,,10/31/2018,3750,,3750,Stock
INE992B01026,LAKSHMI OVER,LAKSHMIEFL,10/31/2018,27.6,27.85,27.85,Stock
INE651C01018,LAKSHMI PREC,LAKPRE,10/31/2018,54.55,53.7,54.55,Stock
INE694C01018,LAKSHMIVILAS,LAKSHVILAS,10/31/2018,131,131.5,131.5,Stock
INE600L01024,LALPATHLAB,LALPATHLAB,10/31/2018,922.9,919,922.9,Stock
INE112F01022,LAMBODHARA T,LAMBODHARA,10/31/2018,66.95,67,67,Stock
INE359U01010,LANCER,,10/31/2018,95.5,,95.5,Stock
INE785C01048,LANCO INFRA,LITL,10/31/2018,1.6,1.7,1.7,Stock
INE572G01025,LANCOR HOLDS,,10/31/2018,32.75,,32.75,Stock
INE394C01023,LANDMARC LEI,,10/31/2018,0.84,,0.84,Stock
INE197J01017,LANDMRK PRO,LPDC,10/31/2018,4.7,4.8,4.8,Stock
INE059D01020,LA-OPALA RG,LAOPALA,10/31/2018,623.6,624.5,624.5,Stock
INE018A01030,LARSEN & TOU,LT,10/31/2018,1438.4,1439.7,1439.7,Stock
INE670X01014,LASA,LASA,10/31/2018,175.3,174.8,175.3,Stock
INE995E01015,LASER DIAMON,,10/31/2018,0.74,,0.74,Stock
INE501N01012,LATIMMETAL,,10/31/2018,31.9,,31.9,Stock
INE285U01017,LAUREL ORGAN,,10/31/2018,45.9,,45.9,Stock
INE947Q01010,LAURUSLABS,LAURUSLABS,10/31/2018,523,520.05,523,Stock
INE976H01018,LAWRESHWAR,,10/31/2018,48,,48,Stock
INE718M01014,LAXMI AUTOLM,,10/31/2018,68.55,,68.55,Stock
INE801V01019,,LAXMICOT,10/31/2018,,16.5,16.5,Stock
INE914Q01010,LAYLA,,10/31/2018,3.25,,3.25,Stock
INE938A01021,,LCCINFOTEC,10/31/2018,,0.9,0.9,Stock
INE531D01010,LEAD FINANC,,10/31/2018,7.22,,7.22,Stock
INE643B01017,LEDO TEA CO,,10/31/2018,84,,84,Stock
INE791B01014,LEE&NEE SOFT,,10/31/2018,5.04,,5.04,Stock
INE245C01019,LEEL,LEEL,10/31/2018,283.85,284.9,284.9,Stock
INE947I01017,LEHIL,LOTUSEYE,10/31/2018,33.8,33.75,33.8,Stock
INE050L01030,LESHAIND,,10/31/2018,18.4,,18.4,Stock
INE500X01013,,LEXUS,10/31/2018,,126,126,Stock
INE850E01012,,LFIC,10/31/2018,,123.25,123.25,Stock
INE201J01017,LGB FORGE,LGBFORGE,10/31/2018,3.65,3.35,3.65,Stock
INE908V01012,,LIBAS,10/31/2018,,127.55,127.55,Stock
INE557B01019,LIBERTY SHOE,LIBERTSHOE,10/31/2018,244.75,244.7,244.75,Stock
INE212B01011,LIBORD FIN,,10/31/2018,14.7,,14.7,Stock
INE267E01019,LIBORD SEC,,10/31/2018,10.9,,10.9,Stock
INE115A01026,LIC HOUS.FIN,LICHSGFIN,10/31/2018,540.35,540.1,540.35,Stock
INF767K01MV5,,LICNETFGSC,10/31/2018,,16.87,16.87,Stock
INF767K01OS7,LICNETFN50,LICNETFN50,10/31/2018,,114.25,114.25,Stock
INF767K01OT5,LICNETFSEN,LICNETFSEN,10/31/2018,376.4,,376.4,Stock
INF767K01PC8,LICNFNHGP,LICNFNHGP,10/31/2018,112,117,117,Stock
INE891G01011,LIME CHEM.,,10/31/2018,65.9,,65.9,Stock
INE028C01027,LINAKS MICRO,,10/31/2018,0.44,,0.44,Stock
INE802B01019,LINC PEN &PL,LINCPEN,10/31/2018,459.65,460,460,Stock
INE405C01035,LINCOLN PHAR,LINCOLN,10/31/2018,256.8,257.55,257.55,Stock
INE473A01011,LINDEINDIA,LINDEINDIA,10/31/2018,544.45,547.05,547.05,Stock
INE302F01011,LINK PHARMA,,10/31/2018,35.3,,35.3,Stock
INE845B01018,LIPPI SYSTEM,,10/31/2018,19.1,,19.1,Stock
INF732E01037,LIQUIDBEES,LIQUIDBEES,10/31/2018,1000.01,1000.01,1000.01,Stock
INE724A01017,LKP FIN,,10/31/2018,121,,121,Stock
INE341H01023,LKPSEC,,10/31/2018,22.95,,22.95,Stock
INE715Q01011,LLFICL,,10/31/2018,17.55,,17.55,Stock
INE281B01032,LLOYDS MET E,,10/31/2018,18.45,,18.45,Stock
INE093R01011,LLOYDSTEEL,LSIL,10/31/2018,2.47,2.6,2.6,Stock
INE862A01015,LML LTD.,LML,10/31/2018,9.18,9.3,9.3,Stock
INE498L01015,LNT FH,L&TFH,10/31/2018,177.6,177.65,177.65,Stock
INE397H01017,LOKESH MACH,LOKESHMACH,10/31/2018,70.5,70.75,70.75,Stock
INE696E01019,LONGVIEW TEA,,10/31/2018,29.75,,29.75,Stock
INE846D01012,LORDS CHLORO,,10/31/2018,62.55,,62.55,Stock
INE026D01011,LOTUS CHOC,,10/31/2018,53.9,,53.9,Stock
INE597L01014,LOVABLE,LOVABLE,10/31/2018,229.5,229.55,229.55,Stock
INF109KB10T8,,LOWVOLIWIN,10/31/2018,,84.2,84.2,Stock
INE970D01010,LOY.TEX MILL,,10/31/2018,697,,697,Stock
INE876S01017,LOYAL,,10/31/2018,64.25,,64.25,Stock
INE214T01019,LTI,LTI,10/31/2018,1370,1371.55,1371.55,Stock
INE010V01017,LTTS,LTTS,10/31/2018,1287,1289,1289,Stock
INE983C01015,LUDOLOW JUTE,,10/31/2018,106.65,,106.65,Stock
INE162B01018,LUMAX IND,LUMAXIND,10/31/2018,1910.65,1930,1930,Stock
INE872H01019,LUMAX TECH,LUMAXTECH,10/31/2018,771,760.2,771,Stock
INE326A01037,LUPIN LTD.,LUPIN,10/31/2018,903,901.7,903,Stock
INE150G01020,LUXIND,LUXIND,10/31/2018,1746.95,1750,1750,Stock
INE281M01013,LWS KNITWEAR,,10/31/2018,13.3,,13.3,Stock
INE933A01014,LYKA LABS,LYKALABS,10/31/2018,66.25,67.6,67.6,Stock
INE624M01014,LYKISLTD,,10/31/2018,43,,43,Stock
INE732D01014,LYNX MACH.,,10/31/2018,39.6,,39.6,Stock
INE142K01011,LYPSA GEMS,LYPSAGEMS,10/31/2018,37.9,36.85,37.9,Stock
INE774D01024,M&M FINANSER,M&MFIN,10/31/2018,475,475,475,Stock
INE377D01018,M.B.PARIKH,,10/31/2018,9.05,,9.05,Stock
INE227C01017,M.M.FORGINGS,MMFL,10/31/2018,1099.45,1110,1110,Stock
INE159E01026,M.M.RUBBER,,10/31/2018,54,,54,Stock
INE468C01017,M.P.AGRO IND,,10/31/2018,6,,6,Stock
INF247L01023,M100,M100,10/31/2018,23.05,23.4,23.4,Stock
INF247L01536,M50 ETF,M50,10/31/2018,106.95,106,106.95,Stock
INE215I01019,MAANALU,MAANALU,10/31/2018,158,158,158,Stock
INE435D01014,MAC CHARLES,,10/31/2018,425,,425,Stock
INE082B01018,MACHINO PLAS,,10/31/2018,248.4,,248.4,Stock
INE307N01014,MACRO INTER.,,10/31/2018,11.85,,11.85,Stock
INE925C01016,MADHAV MARB.,MADHAV,10/31/2018,63.8,65.3,65.3,Stock
INE378D01032,MADHUCON PRJ,MADHUCON,10/31/2018,32.45,32.7,32.7,Stock
INE110C01015,MADHUR IND,,10/31/2018,13.51,,13.51,Stock
INE469C01023,MADHUS.IND.,,10/31/2018,21.9,,21.9,Stock
INE414A01015,MADRASFERT,MADRASFERT,10/31/2018,47.15,47.25,47.25,Stock
INE318N01011,MAESTROS ELE,,10/31/2018,30.75,,30.75,Stock
INE270B01027,MAFATLAL IND,,10/31/2018,324,,324,Stock
