ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE027A01015,RASHTR.CHEM.,RCF,10/31/2018,98.7,98.75,98.75,Stock
INE822D01021,RASI ELECTRO,,10/31/2018,6.28,,6.28,Stock
INE349E01023,RASOI LTD.,,10/31/2018,40990,,40990,Stock
INE575I01016,RATHI BARS,,10/31/2018,35.45,,35.45,Stock
INE886C01010,RATHI GRAPH.,,10/31/2018,17.4,,17.4,Stock
INE336C01016,RATHI ST,,10/31/2018,2.97,,2.97,Stock
INE821Y01011,RATNABHUMI,,10/31/2018,32.5,,32.5,Stock
INE703B01027,RATNAMNI MET,RATNAMANI,10/31/2018,1071.65,1067.9,1071.65,Stock
INE523K01012,RAUNAQEPC,,10/31/2018,165.05,,165.05,Stock
INE615A01017,RAVALGAON,,10/31/2018,3255.8,,3255.8,Stock
INE722J01012,RAVI KUMAR,RKDL,10/31/2018,18.5,18.6,18.6,Stock
INE427E01027,RAVILEELA GR,,10/31/2018,23.25,,23.25,Stock
INE741C01017,RAYMED LABS.,,10/31/2018,2.33,,2.33,Stock
INE301A01014,RAYMOND,RAYMOND,10/31/2018,1080,1084.55,1084.55,Stock
INE976G01028,RBLBANK,RBLBANK,10/31/2018,506.35,505.3,506.35,Stock
INF204KA1ZG0,RCBFIIBG,,10/31/2018,12.62,,12.62,Stock
INF204KA1F52,RCBFIICG,,10/31/2018,11.09,,11.09,Stock
INF204KB1RT9,RCBFIVBD,,10/31/2018,11,,11,Stock
INE929D01016,RCCL,,10/31/2018,56.95,,56.95,Stock
INE140B01014,RCI IND,,10/31/2018,221.9,,221.9,Stock
INE892L01019,RCL RETAIL,,10/31/2018,15.05,,15.05,Stock
INF204K016R1,RCLENDPLAD,,10/31/2018,15.5,,15.5,Stock
INF204K015R3,RCLENDPLAG,,10/31/2018,21.65,,21.65,Stock
INE123M01017,RDB RASAYAN,,10/31/2018,94.5,,94.5,Stock
INE245L01010,RDB REALTY,,10/31/2018,59,,59,Stock
INE183B01014,REAL STRIPS,,10/31/2018,8.27,,8.27,Stock
INE020B01018,RECLTD,RECLTD,10/31/2018,157.65,157.55,157.65,Stock
INE891D01026,REDINGTON,REDINGTON,10/31/2018,184.7,185.7,185.7,Stock
INE056I01017,REFEX,REFEX,10/31/2018,20,20.1,20.1,Stock
INE428C01011,REFNOL RESIN,,10/31/2018,46.8,,46.8,Stock
INE277C01012,REG.CERAMIC,REGENCERAM,10/31/2018,6.8,7,7,Stock
INE964R01013,REGENCY,,10/31/2018,39.35,,39.35,Stock
INE425F01010,REGENCY TRUS,,10/31/2018,3.15,,3.15,Stock
INE769D01016,REGENTRP,,10/31/2018,5.67,,5.67,Stock
INE814K01015,REIL ELEC,,10/31/2018,249.9,,249.9,Stock
INE330H01018,REL COM LTD,RCOM,10/31/2018,31.05,31.05,31.05,Stock
INE046A01015,REL INDL INF,RIIL,10/31/2018,570,572,572,Stock
INE036A01016,REL INFRA,RELINFRA,10/31/2018,512.8,512.75,512.8,Stock
INE013A01015,REL.CAP.,RELCAPITAL,10/31/2018,510.35,510.4,510.4,Stock
INE750D01016,REL.CHEMOTX,,10/31/2018,123.9,,123.9,Stock
INE131B01039,RELAXO FOOT.,RELAXO,10/31/2018,652.9,640,652.9,Stock
INF204K014N5,,RELCNX100,10/31/2018,,116.82,116.82,Stock
INF204KA1LD7,,RELCONS,10/31/2018,,52.61,52.61,Stock
INF204KA1MS3,,RELDIVOPP,10/31/2018,,30.17,30.17,Stock
INE217K01011,RELHOME,RHFL,10/31/2018,82.45,82.5,82.5,Stock
INE419H01019,RELIAB VEN,,10/31/2018,18.1,,18.1,Stock
INE375Y01018,,RELIABLE,10/31/2018,,62.5,62.5,Stock
INE002A01018,RELIANCE,RELIANCE,10/31/2018,964.9,964.5,964.9,Stock
INE621H01010,RELIGARE ENT,RELIGARE,10/31/2018,47,47.15,47.15,Stock
INF204KA17D8,,RELNV20,10/31/2018,,526,526,Stock
INF204KA1UN7,RELSENSEX,,10/31/2018,377.65,,377.65,Stock
INE792V01010,RELSTRUCT,,10/31/2018,35,,35,Stock
INE206N01018,RELTD,,10/31/2018,38,,38,Stock
INE158G01015,REMI EDEL,,10/31/2018,36.95,,36.95,Stock
INE474C01015,REMSONS IND.,REMSONSIND,10/31/2018,86.3,88,88,Stock
INE722H01016,REN JEWELERY,RJL,10/31/2018,325,326,326,Stock
INE087H01022,RENUKA SUGAR,RENUKA,10/31/2018,15.95,16,16,Stock
INE612J01015,REPCO HOME,REPCOHOME,10/31/2018,638.25,637.6,638.25,Stock
INE461B01014,REPRO INDIA,REPRO,10/31/2018,749.35,750,750,Stock
INE486D01017,RESONANCE,,10/31/2018,37.95,,37.95,Stock
INE688D01026,RESPON IND,RESPONIND,10/31/2018,39.45,39.4,39.45,Stock
INE298E01022,RESTILE CER.,,10/31/2018,8,,8,Stock
INE617A01013,REVATHI EQU.,REVATHI,10/31/2018,696,698.95,698.95,Stock
INE687C01012,REXNORD ELE.,,10/31/2018,63.65,,63.65,Stock
INE811H01017,RIBA TEXTILS,,10/31/2018,115.5,,115.5,Stock
INE516H01012,RICHA IND,,10/31/2018,17.85,,17.85,Stock
INE102C01020,RICHIRICH,,10/31/2018,1.9,,1.9,Stock
INE209B01025,RICO AUTO,RICOAUTO,10/31/2018,89.5,89.5,89.5,Stock
INE325X01015,RIDDHICORP,,10/31/2018,160.1,,160.1,Stock
INE249D01019,RIDHI SIDHI,,10/31/2018,768.5,,768.5,Stock
INE909C01010,RIGA SUGAR,,10/31/2018,13.78,,13.78,Stock
INE001O01029,RISA INTL,,10/31/2018,1.27,,1.27,Stock
INE864D01015,RISHABH DIGH,,10/31/2018,50.65,,50.65,Stock
INE988D01012,RISHI LASER,,10/31/2018,37.75,,37.75,Stock
INE582D01013,RISHIROOP,,10/31/2018,135,,135,Stock
INE989D01010,RISHITECH,,10/31/2018,77.15,,77.15,Stock
INE299D01014,RIT PRO IND,,10/31/2018,10,,10,Stock
INE534D01014,RITESH INTER,,10/31/2018,4.25,,4.25,Stock
INE819Y01015,RITHWIKFMS,,10/31/2018,36.25,,36.25,Stock
INE594O01015,RJ BIOTECH,,10/31/2018,20.65,,20.65,Stock
INE399G01015,RK FORGINGS,RKFORGE,10/31/2018,801,805,805,Stock
